address,amount,sent
0xb34f92107c3332b4b1a310783cd051c7a4a731e5,1000000,true
0x1147ccfb4aefc6e587a23b78724ef20ec6e474d4,1000000,true
0x50a150d22581b76b4de7e5b261af459290a97f1c,1000000,true
0xb4e3572ff547c06114ed243f5b8741b6c37be4d0,1000000,true
0x71dc5c4d4a5e5becaa8b05a99a182eafb4b09097,1000000,true
0xc44cee457adb1ea4c46437fc5ccc79563dcfcd16,1000000,true
0x1fc3a3e225f6ab95f9b3dbe44e2fa8f5c01c1fc0,1000000,true
0x7c7c63070372f67b49a269940aa6853e1dccf295,1000000,true
0x016d425cf2e4539d65e0ee29f1ce2587af9886b9,1000000,true
0x5e8da8ad4043d21bfdeafbf73cffabe729dc6d08,1000000,true
0x78a7b3846f6b0407c051aef02e365a76cef586e0,1000000,true
0xceb598aa8a0995ae5a9c869de1f597d34703a704,1000000,true
0xc3fc7ca3892ea5db3cfd4125f30b2f63cd5e5ac2,1000000,true
0x03fc573ec114b8cdc4fa770202c6d1a6060f9da4,1000000,true
0x03f182ec7474877ec8d830a5fcb804fd132755c1,1000000,true
0x2a672b9d9bf33caa436d3856860594e7c3c7bc55,1000000,true
0x04c16bc9f85654c9646fce47bf70176cc4c2069a,1000000,true
0x8a1b73a88e1854dd3eebee4354bd4dba23861e3a,1000000,true
0x4a5bd43bb766b1ed858dfc6ff35e29b7ba980f19,1000000,true
0x74251832d428006039f4a185aa973a84b6ed19a5,1000000,true
0x1cbe2aeddaa378316a9df3f3111ba3cd225ab81b,1000000,true
0x4006dc821bba35a32a13b69ae107a37854931ada,1000000,true
0x6a6e0a753c927cbd77c1cf97820a5ad496b74a16,1000000,true
0x83131cb2d0664934226184664bd97c24cb6a328b,1000000,true
0xa93d53757552792e3b2a6e38faa25e2a9a769c51,1000000,true
0x3d52952a3bbfc45fb05a9e23b51dbe2b8b639f07,1000000,true
0xc1fcc11f45b185c6b38a17e8dfc4c73c3cc78eae,1000000,true
0xbb79e9874c36609bdcecd4a644822fba8431fa64,1000000,true
0x7e7536f0bbc08a3a85ccc69296954db6de5ff39a,1000000,true
